strategy,window,sample,side,entry_time,open_entry,high_entry,low_entry,close_entry,exit_time,open_exit,high_exit,low_exit,close_exit,pnl
EMA_x_EMA100_accel_SL2,W01,IS,1,2021-01-04 02:00:00,29341.2,29890.5,29120.4,29654.3,2021-01-04 04:00:00,29660.1,30145.7,29501.2,29988.6,64.74
EMA_x_EMA100_accel_SL2,W01,IS,-1,2021-01-05 08:00:00,30211.4,30380.9,29744.1,29870.2,2021-01-05 10:00:00,29880.5,30021.3,29544.8,29611.4,78.31
EMA_x_EMA100_accel_SL2,W01,IS,1,2021-01-06 14:00:00,36012.3,37411.2,35801.4,37201.8,2021-01-06 16:00:00,37214.5,38100.2,36944.7,37688.1,124.58
EMA_x_EMA100_accel_SL2,W01,IS,-1,2021-01-07 06:00:00,40188.2,40544.1,38011.3,38244.5,2021-01-07 08:00:00,38255.4,38801.3,37611.2,37944.6,91.44
EMA_x_EMA100_accel_SL2,W01,IS,1,2021-01-08 10:00:00,38144.2,41311.4,37901.3,40977.5,2021-01-08 12:00:00,40988.1,41544.7,40211.3,41188.4,158.32
EMA_x_EMA100_accel_SL2,W01,IS,-1,2021-01-10 18:00:00,35014.1,35322.4,33811.5,34122.7,2021-01-10 20:00:00,34133.2,34511.6,33411.8,33788.4,112.71
EMA_x_EMA100_accel_SL2,W01,IS,1,2021-01-12 04:00:00,33544.1,34211.5,33201.4,33988.7,2021-01-12 06:00:00,34001.2,34322.8,33677.4,33812.3,-38.44
EMA_x_EMA100_accel_SL2,W01,IS,-1,2021-01-13 16:00:00,36811.4,37122.3,35544.1,35788.6,2021-01-13 18:00:00,35799.2,36011.4,35188.7,35344.1,66.23
EMA_x_EMA100_accel_SL2,W01,OOS,1,2021-01-20 02:00:00,33011.5,33788.4,32544.2,33644.8,2021-01-20 04:00:00,33655.1,34122.3,33344.5,33988.7,72.14
EMA_x_EMA100_accel_SL2,W01,OOS,-1,2021-01-21 14:00:00,32188.4,32544.1,31011.3,31322.5,2021-01-21 16:00:00,31333.7,31788.4,30811.2,31011.4,88.92
